x, y, theta, stamp, 
5.749261617893353e-07, -2.0031260646646842e-05, 1.4305393455166035e-06, 1761314869842343462, 
1.242196958628483e-07, -1.441358108422719e-07, 1.430540709758281e-06, 1761314869892141179, 
-1.9312239601276815e-05, -2.0481915271375328e-05, 1.4305420739999586e-06, 1761314869931935246, 
-1.97629451577086e-05, -5.947904355707578e-07, 1.430543438241636e-06, 1761314869983716743, 
-9.59400858846493e-06, -1.0313025995856151e-05, 1.4305452572305396e-06, 1761314870052601921, 
-9.59400858846493e-06, -1.0313025995856151e-05, 1.430546621472217e-06, 1761314870092187101, 
-9.59400858846493e-06, -1.0313025995856151e-05, 1.4305479857138946e-06, 1761314870143170099, 
-9.59400858846493e-06, -1.0313025995856151e-05, 1.430549349955572e-06, 1761314870192240071, 
-9.59400858846493e-06, -1.0313025995856151e-05, 1.4305507141972497e-06, 1761314870237247125, 
0.0003755250945687294, 4.551892925519496e-05, -0.0030777395384410495, 1761314870292685784, 
0.002053128555417061, 2.9664057365152985e-05, -0.01911682611660976, 1761314870332180544, 
0.00824902206659317, -0.0003657470806501806, -0.056334584137270875, 1761314870402376216, 
0.014300250448286533, -0.00046840767026878893, -0.09371070576489157, 1761314870452566416, 
0.028188925236463547, -0.002192428335547447, -0.17684542046128876, 1761314870543273755, 
0.04719631001353264, -0.007774941623210907, -0.2999656256428935, 1761314870642394504, 
0.06667827069759369, -0.015677325427532196, -0.4326283117479136, 1761314870732216986, 
0.08851027488708496, -0.028406307101249695, -0.5891967025722076, 1761314870832255761, 
0.10966722667217255, -0.04589890316128731, -0.7657409684407928, 1761314870943172814, 
0.12570850551128387, -0.06490106880664825, -0.9215562135036229, 1761314871042743595, 
0.13797684013843536, -0.08400475978851318, -1.0640805474263528, 1761314871132188690, 
0.14814786612987518, -0.10669232904911041, -1.2253872487808977, 1761314871233608483, 
0.15557163953781128, -0.13380973041057587, -1.4017651251065546, 1761314871344170559, 
0.1574549376964569, -0.15857653319835663, -1.5550137760000189, 1761314871441312740, 
0.15605327486991882, -0.1830415278673172, -1.6954412609377787, 1761314871533278707, 
0.150642529129982, -0.20905007421970367, -1.846354709253524, 1761314871633550732, 
0.14067435264587402, -0.2374769151210785, -1.9962124067285858, 1761314871742208228, 
0.12784834206104279, -0.26311540603637695, -2.1217174683786326, 1761314871840162147, 
0.11295013129711151, -0.28547045588493347, -2.2323016700860396, 1761314871932171489, 
0.09339639544487, -0.3091403543949127, -2.3409438962800713, 1761314872032285412, 
0.06901983171701431, -0.3325293958187103, -2.4474154996584248, 1761314872142159013, 
0.04521404206752777, -0.35130318999290466, -2.5260338054269353, 1761314872240177829, 
0.02204868197441101, -0.36663517355918884, -2.586907420460397, 1761314872332739247, 
-0.008627165108919144, -0.38416120409965515, -2.6499139858458194, 1761314872449546416, 
-0.034336406737565994, -0.3971961438655853, -2.6870847431214364, 1761314872542190802, 
-0.06227013096213341, -0.4097062945365906, -2.7229733261004503, 1761314872643195392, 
-0.0888901948928833, -0.42051011323928833, -2.7482850732460755, 1761314872732199067, 
-0.11703142523765564, -0.431562602519989, -2.7600581168302765, 1761314872832245247, 
-0.1480744630098343, -0.443962961435318, -2.764512076727524, 1761314872942182814, 
-0.176377072930336, -0.45549488067626953, -2.761985572563551, 1761314873043145390, 
-0.20217736065387726, -0.46591559052467346, -2.7549302463332466, 1761314873132190386, 
-0.23028436303138733, -0.477579265832901, -2.7443403881598973, 1761314873232607173, 
-0.26140323281288147, -0.4911774694919586, -2.7274021948058356, 1761314873342197760, 
-0.289398729801178, -0.5040149092674255, -2.7124406760060538, 1761314873442152704, 
-0.31471627950668335, -0.5160665512084961, -2.6977507973759316, 1761314873532225388, 
-0.34636813402175903, -0.5319299697875977, -2.6760497097701785, 1761314873647820378, 
-0.3723401725292206, -0.5455158948898315, -2.654909523319236, 1761314873742199677, 
-0.39923426508903503, -0.5606884956359863, -2.633532321822987, 1761314873842142857, 
-0.42289549112319946, -0.574713945388794, -2.6130021454367816, 1761314873932186845, 
-0.4487794041633606, -0.5908029675483704, -2.5961617788958344, 1761314874032591750, 
-0.4776366055011749, -0.609107255935669, -2.577974837130297, 1761314874142238695, 
-0.503375768661499, -0.6258364915847778, -2.56280807643853, 1761314874242152762, 
-0.5263029932975769, -0.6417862772941589, -2.547052952633871, 1761314874332190806, 
-0.551482617855072, -0.6598353385925293, -2.5301380029595104, 1761314874432411198, 
-0.5788657069206238, -0.6797856092453003, -2.5160007381460945, 1761314874542188095, 
-0.6033686399459839, -0.6981736421585083, -2.503523868756555, 1761314874642177658, 
-0.6255892515182495, -0.7149451971054077, -2.4963965225314912, 1761314874732214418, 
-0.6497556567192078, -0.7334434986114502, -2.4912935782001053, 1761314874832423742, 
-0.6767691373825073, -0.7545331716537476, -2.485133483090795, 1761314874942338008, 
-0.7004919648170471, -0.7728475332260132, -2.4816825586318627, 1761314875042148300, 
-0.7199526429176331, -0.7884235978126526, -2.478851582223774, 1761314875134141491, 
-0.744312584400177, -0.8078358769416809, -2.472928435992627, 1761314875252605518, 
-0.761398196220398, -0.8212559819221497, -2.472384450837392, 1761314875342192901, 
-0.7791174054145813, -0.8359094858169556, -2.473349841161764, 1761314875442193501, 
-0.7942439317703247, -0.8479722142219543, -2.4705442783719396, 1761314875533245634, 
-0.8099907636642456, -0.8604381084442139, -2.4705822035643297, 1761314875632296522, 
-0.8253992199897766, -0.8726873397827148, -2.4733292758392076, 1761314875742202885, 
-0.8391246795654297, -0.8838130235671997, -2.4752919932431166, 1761314875842152183, 
-0.8497525453567505, -0.8922424912452698, -2.4783888014944804, 1761314875933286870, 
-0.8637201189994812, -0.9031866788864136, -2.4803087545229485, 1761314876052213580, 
-0.8731784820556641, -0.9104870557785034, -2.4835024499401026, 1761314876142212060, 
-0.8825493454933167, -0.9176549911499023, -2.4892816034471137, 1761314876242160207, 
-0.8908416032791138, -0.9238538146018982, -2.4920566253735967, 1761314876332301992, 
-0.9013343453407288, -0.9316864609718323, -2.4946556375556037, 1761314876452445907, 
-0.9078359603881836, -0.9366682171821594, -2.497895276636148, 1761314876542214946, 
-0.9149815440177917, -0.9421125650405884, -2.5005832477362335, 1761314876642433358, 
-0.9209139943122864, -0.9468320608139038, -2.502095953579546, 1761314876733293977, 
